username,likes,comments,text,hashtags,date,time,day_of_week,hour
editorasextante,618,5,"@sociedadedelivros “A coragem de não agradar” é um livro com o teor filosófico e reflexivo. O livro é escrito em um diálogo entre um filósofo e um jovem cheio de dúvidas, onde eles discutem sobre inferioridade, autoconfiança e autoestima. Ao começar a leitura desse livro, pensava que sentiria dificuldades em terminá-lo, já que não é um gênero que leio usualmente; entretanto, me surpreendi em como o livro me prendeu. O filósofo, ao expor suas teorias, utiliza muitos acontecimentos do cotidiano que nos aproximam do fato narrado. Desta forma, em vários momentos consegui me enxergar no livro. Além disso, tem várias citações que acredito serem importantes de serem lidas. Uma das minhas favoritas (tirando as que postei na foto) é “Crianças que não foram ensinadas a enfrentar os desafios tentarão evitar todos os desafios”. Muitas vezes, fugir do caminho difícil te causa um prejuízo enorme, ainda mais quando você sempre foi ensinado a agir assim. Recomendo essa leitura para todos, por mais que pareça um livro complicado por ter a filosofia de Adler, é uma leitura totalmente fluida e leve!","['repost', 'booklover', 'books', 'bookgram', 'bookstagrammer', 'bookgrambr']",2024-04-16,14:50:36,terça,14
editorasextante,2950,38,"Em busca de inspiração para o seu dia?  Neste vídeo, você encontrará frases inspiradoras do livro que te convidam a refletir sobre a vida e te darão força para seguir em frente, mesmo nos momentos mais desafiadores.  O novo livro de Haemin Sunim, “Quando as coisas não saem como você espera”, chegou para te guiar nessa jornada! O renomado autor e monge budista, oferece sabedoria e compaixão para lidarmos com as dificuldades e encontrarmos paz interior. ","['haemin', 'haminsunim', 'frases', 'frasedodia', 'quotes', 'inspiração', 'pazinterior']",2024-04-14,11:51:19,domingo,11
editorasextante,5555,33,"Bom dia!  @leiturasdaceica “Se todos nós levamos rasteiras da vida, como certas pessoas conseguem enfrentar tantas adversidades e, mesmo assim, sair mais fortes?“  Esse livro poderoso da autora Brené Brown explora o tema da resiliência e do crescimento pessoal. “Mais forte do que nunca” destaca a importância de enfrentar e superar a vergonha, a vulnerabilidade e o medo, argumentando que essas experiências podem nos tornar mais fortes e mais autênticos.  Ela oferece insights e estratégias práticas para cultivar a coragem, a compaixão e a conexão, encorajando os leitores a abraçar sua autenticidade e a se tornarem líderes mais eficazes em suas vidas pessoais e profissionais.  Algumas ideias discutidas no livro: - Enfrentar e superar a vergonha, a vulnerabilidade e o medo - Cultivar a coragem, a compaixão e a conexão -Desenvolver resiliência e crescimento pessoal - Abraçar a autenticidade e a liderança eficaz - Estratégias práticas para lidar com desafios emocionais - A importância de aceitar imperfeições e aprender com elas  Leitura agradável, leve, reflexiva e acolhedora! Gostei demais e já quero ler todos os livros da autora ","['repost', 'brenebrown', 'maisfortequenunca', 'dicadeleitura', 'bookrecommendation']",2024-04-13,11:49:11,sábado,11
editorasextante,732,9,Descubra uma nova versão de si mesmo com as técnicas e ferramentas apresentadas no livro “Seis substâncias para viver bem”.  Essas seis substâncias afetam profundamente o nosso corpo e são responsáveis por grande parte dos nossos pensamentos e sentimentos.  Vai descobrir que é capaz de ativar esses hormônios naturalmente para criar o estado de ânimo que deseja.,"['comportamentos', 'hormônios', 'dopamina', 'endorfina', 'oxitocina', 'serotonina', 'testosterona', 'cortisol']",2024-04-12,12:47:20,sexta,12
editorasextante,239,8,"PRÉ-VENDA Enciclopédia Britânica para curiosos vol. 1!  Foguetes, vulcões, radioatividade, oceano profundo e outros assuntos extraordinários.  Apaixonados pela missão de explicar a ciência e a vida, Mari Fulfaro e Iberê Thenório, criadores do @manualdomundo, trazem para o Brasil esta versão moderna da respeitada Enciclopédia Britânica, que há mais de 250 anos mata a sede de conhecimento de várias gerações de curiosos. Compre na pré-venda pelo link da bio do @editorasextante","['ciência', 'conhecimento', 'curiosidades', 'manualdomundo', 'enciclopédia']",2024-04-10,12:45:32,quarta,12
editorasextante,1071,4,"Um livro para encontrar paz e sabedoria nos momentos mais difíceis.  Descubra como transformar desafios em oportunidades de crescimento com “Quando as coisas não saem como você espera”. O autor Haemin Sunim aborda a resiliência e o crescimento espiritual através de desafios pessoais.  PRÉ-VENDA disponível nos formatos de livro físico, ebook e audiolivro.","['haeminsunim', 'resiliencia', 'autodescoberta', 'inspiração', 'frasedodia']",2024-04-09,12:48:03,terça,12
editorasextante,187,2,"Este não é o típico livro de finanças que você vê por aí. Chamado de “mago da riqueza” pela Forbes e “novo guru” pela Fortune, apresentador da série “Como ficar rico”, da Netflix, Ramit Sethi criou um sistema de seis semanas para você alcançar suas metas.","['ramitsethi', 'comoficarrico', 'finanças', 'dinheiro', 'educacaofinanceira', 'gestaofinanceira', 'liberdadefinanceira']",2024-04-08,12:56:06,segunda,12
editorasextante,1474,12,Hoje é o Dia Mundial da Saúde!  Que tal celebrarmos com uma dose extra de conhecimento para fortalecer corpo e mente?  Descubra alguns livros que vão transformar sua saúde física e mental!  Lista dos livros:  Seis substâncias para viver bem  Mente afiada  Superintestino  O peso das dietas  Você aguenta ser feliz?,"['DiaMundialdaSaúde', 'LivrosParaVitalidade', 'BemEstar', 'SaúdeMental', 'mudançadevida', 'saúde']",2024-04-07,21:42:55,domingo,21
editorasextante,24222,59,"@anna_nogueira Nunca vi alguém dizer que “está com tempo de sobra”. Gestão do tempo é um desafio pra pessoas e empresas, e você sabe disso. O livro Essencialismo, de Greg McKeown da @editorasextante traz técnicas valiosas para fazer o que realmente importa, no trabalho e na vida. Uma das principais é: estabelecer limites. É você quem determina como os outros te tratam, que volume de projetos irá assumir e em quais prazos precisará entregá-los. Se você não impõe limites, vai lidar com as consequências dessa omissão.",['repost'],2024-04-06,12:00:32,sábado,12
editorasextante,821,9,"Descubra o caminho para a tranquilidade e clareza interior com nosso novo livro ""Atenção plena profunda"". Cada página é uma jornada rumo ao autoconhecimento, com meditações guiadas acessíveis via QR CODE, prontas para te acompanhar em qualquer momento do dia a dia. A edição inclui links para oito semanas de meditação guiada em áudio.","['meditação', 'atençãoplena', 'mindfulness']",2024-04-05,12:00:29,sexta,12
editorasextante,498,4,"Hoje é Dia Internacional do Livro Infantil!  Passe para o lado e confira a seleção de livros especiais para celebrar esse dia! Ninguém nasce sendo um leitor, por isso, a infância é a principal porta de entrada para esse novo mundo de conhecimento e descobertas incríveis.  Agora queremos ouvir a sua história! Qual livro marcou a sua infância?","['Diainternacionaldolivroinfantil', 'leitura', 'livrosinfantis']",2024-04-02,21:05:20,terça,21
editorasextante,554,7," Uma das maiores obras de reflexão espiritual e ética de todos os tempos, repleta de sabedoria do estoicismo, as “Meditações” de Março Aurélio são leitura essencial para quem deseja viver bem.  Disponível nos formatos de livro físico, ebook e audiolivro.","['meditações', 'marcoaurelio', 'estoicismo', 'reflexão', 'sabedoria', 'insights', 'leitura']",2024-03-29,16:58:34,sexta,16
galerarecord,3875,119,"[PRÉ-VENDA l HERDEIRO DAS TREVAS] Não consegui aguentar até amanhã! As Trevas estão de volta. E um mundo antigo prestes a ressurgir. Herdeiro das Trevas é a esperada sequência de Ascensão das Trevas. Dessa vez, Will e seus amigos precisarão lutar contra um mal que já caminha entre eles. Confira a sinose: Os guerreiros da Luz sobreviveram ao primeiro ataque das Trevas, mas pagaram um preço alto demais. Com outra ameaça prestes a eclodir, se não agirem depressa, muito mais tragédias estarão a caminho. Perseguidos pelas forças inimigas, Will e seus aliados precisam deixar a segurança do Salão e viajar até o mundo antigo para deter a ascensão das Trevas, fazendo novas e perigosas alianças e desvendando segredos impactantes do passado. No entanto, Will também esconde um segredo sombrio: sua verdadeira identidade. Caso a verdade venha à tona, quem é amigo pode se tornar um inimigo. Mas a atração que sente por James St. Clair, o Traidor, faz com que se aproxime cada vez mais de sua vida pregressa e das Trevas. Será que não apenas Will, mas também seus aliados, conseguirão lutar contra o próprio destino? Será que conhecer o passado pode ser a chave para salvar o presente, ou justamente o que causará o fim de todos? O livro está na pré-venda com brindes exclusivos e você pode garantir no link dos stories ou no destaque “”pré-venda”” aqui no perfil. Arte do pôster de @soraccant  — Tradução: Marcela Filizola","['DarkHeir', 'DarkRise', 'AscensãoDasTrevas', 'HerdeiroDasTrevas', 'fantasias', 'trilogias', 'trilogia', 'fantasia', 'livrosdefantasia']",2024-04-21,21:56:17,domingo,21
galerarecord,9244,182,"Oi, eu sou a Gal! Quer saber um pouco da minha história? Arrasta para o lado que eu te conto! ","['GaleraRecord', 'LeiaGaleraRecord', 'EditoraDeLivros', 'GrupoEditorialRecord', 'EditoraRecord']",2024-03-30,20:55:01,sábado,20
galerarecord,900,17,"Arrepiou aí? As Trevas estão de volta. E um mundo antigo prestes a ressurgir. Herdeiro das Trevas é a esperada sequência de Ascensão das Trevas. Dessa vez, Will e seus amigos precisarão lutar contra um mal que já caminha entre eles. O livro está na pré-venda com brindes exclusivos e você pode garantir no link dos stories ou no destaque ""pré-venda"" aqui no perfil. E aproveita que o e-book de ASCENSÃO DAS TREVAS, o primeiro volume está na promoção por R$ 9,90! --- Tradução: Marcela Filizola","['DarkHeir', 'DarkRise', 'AscensãoDasTrevas', 'HerdeiroDasTrevas', 'fantasias', 'trilogias', 'trilogia', 'fantasia', 'livrosdefantasia']",2024-04-26,12:06:08,sexta,12
galerarecord,534,10,"MAS É CLARO QUE A GENTE NÃO IA PERDER ESSA! A @bienaldolivrobahia vai ser um hino, óbvio, e é claro que estaremos por lá! Arrasta para o lado e veja nossa programação incrível e no final, onde estaremos localizados no evento  Anota na agenda  De 26 de abril a 1º de maio  Centro de Convenções Salvador Esperamos a sua visita!","['BienalDaBahia', 'StefanoVolp', 'ElayneBaeta', 'AdrielBispo', 'VanessaReis', 'literaturanacional', 'Literatura', 'EventosLiterários', 'eventosincríveis']",2024-04-25,20:55:09,quinta,20
galerarecord,3879,15,"Todo final tem um começo. Da autora best-seller mundial e fenômeno editorial Colleen Hoover (@colleenhoover), que já vendeu mais de dois milhões de livros no país!","['ÉAssimQueComeça', 'ÉAssimQueAcaba', 'ColleenHoover', 'romancesincríveis', 'livrosderomance', 'livrosdedrama', 'dramas', 'romances', 'filmesromanticos', 'ItEndsWithUs', 'ItStartsWithUs', 'LilyBloom', 'ÉAssimQueComeçaCapaDura']",2024-04-25,11:55:13,quinta,11
galerarecord,-1,15,"As Trevas estão de volta. E um mundo antigo prestes a ressurgir. Herdeiro das Trevas é a esperada sequência de Ascensão das Trevas. Dessa vez, Will e seus amigos precisarão lutar contra um mal que já caminha entre eles. O livro está na pré-venda com brindes exclusivos e você pode garantir no link dos stories ou no destaque ""pré-venda"" aqui no perfil. --- Tradução: Marcela Filizola","['DarkHeir', 'DarkRise', 'AscensãoDasTrevas', 'HerdeiroDasTrevas', 'fantasias', 'trilogias', 'trilogia', 'fantasia', 'livrosdefantasia']",2024-04-24,20:55:23,quarta,20
galerarecord,1729,42,"A duologia OS LIVROS DO CHÁ é inspirada na arte do preparo de chás da cultura chinesa e taiwanesa e segue a história de Ning, que, para salvar sua família e seu povo, precisa vencer uma competição de chá da realeza. Pela primeira vez em um kit, conheça a duologia finalista do prêmio Goodreads de fantasia e ficção científica jovem adulta  O kit está na pré-venda e você pode acessar o link nos stories e no destaque ""pré-venda"". Tradução: Adriana Fidalgo ","['OsLivrosDoChá', 'UmaMagiaDestiladaEmVeneno', 'UmaVenenoDoceESombrio', 'fantasiaasiatica', 'taiwan', 'china', 'culturachinesa', 'culturataiwanesa', 'fantasiasdiversas', 'livrosdefantasia']",2024-04-24,11:55:13,quarta,11
galerarecord,2197,25,"Feliz dia para eles, que levam a gente a viver várias vidas diferentes ","['DiaDoLivro', 'GaleraRecord', 'AVidaInvisívelDeAddieLaRue', 'VESchwab']",2024-04-23,11:55:03,terça,11
galerarecord,5342,38,"Agora em uma edição especial de colecionador, com pintura trilateral e exclusiva para o Brasil (sim, só tem no Brasil, menines!), conheça a sequência de É ASSIM QUE ACABA. Da autora best-seller mundial e fenômeno editorial Colleen Hoover (@colleenhoover), que já vendeu mais de dois milhões de livros no país!","['ÉAssimQueComeça', 'ÉAssimQueAcaba', 'ColleenHoover', 'romancesincríveis', 'livrosderomance', 'livrosdedrama', 'dramas', 'romances', 'filmesromanticos', 'ItEndsWithUs', 'ItStartsWithUs', 'LilyBloom', 'ÉAssimQueComeçaCapaDura']",2024-04-22,20:55:20,segunda,20
galerarecord,1608,21,"Uma história de Elfhame, da mente brilhante de Holly Black (@blackholly), com o aguardado retorno dos personagens da série O POVO DO AR. Conheça o desfecho épico da duologia HERDEIRO ROUBADO, de Holly Black, autora best-seller da premiada série O Povo do Ar. A tradução é de Caroilina Cândido e Gabriela Araújo ","['HollyBlack', 'OHerdeiroRoubado', 'TheStolenHeir', 'ThePrisonersThrone', 'OPríncipeCruel', 'TheCruelPrince', 'OReiPerverso', 'TheWickedKing', 'ARainhaDoNada', 'TheQueenOfNothing', 'Jude', 'CardanGreenbriar', 'Jurdan', 'JudeAndCardan', 'JudeECardan', 'OakAndWren', 'Oak', 'Wren', 'OPovoDoAr', 'TheFolkOfTheAir']",2024-04-22,11:55:05,segunda,11
galerarecord,817,45,As trevas nunca desaparecem de verdade. Apenas esperam que o mundo as esqueça para se erguerem outra vez.,"['DarkHeir', 'DarkRise', 'AscensãoDasTrevas', 'HerdeiroDasTrevas']",2024-04-21,20:55:03,domingo,20
galerarecord,-1,7,"[EVENTO DE LANÇAMENTO - SETE BRUXAS E UM GATO TEMPORÁRIO] Escrito por Índigo Ayer (@indigo_hoje), SETE BRUXAS E UM GATO TEMPORÁRIO é a leitura perfeita para quem nunca deixou de acreditar que a magia existe, e está sempre à espreita, onde menos se espera encontrá-la. O lançamento de SETE BRUXAS E UM GATO TEMPORÁRIO vai rolar no dia 27/04, às 15h, na @pedelivro.livrariainfantil, em São Paulo! A capa é de @artesdecaroline ","['literaturainfantojuvenil', 'livrosjovens', 'cozyfantasy', 'livrosfofos', 'GaleraRecord', 'livroinfantil', 'fantasia', 'fantasiaqueconforta']",2024-04-21,11:55:01,domingo,11
galerarecord,5450,84,"HOJE É ANIVERSÁRIO DA NOSSA MARAVILHOSA POPPY BALFOUR, a protagonistas da série SANGUE E CINZAS, de @jenniferlarmentrout! Quem também ama essa personagem? DE SANGUE E CINZAS é uma fantasia sexy, viciante e arrebatadora, perfeita para os fãs de @sarahjmaas  Arte de @bxromance ","['UmaAlmaDeSangueECinzas', 'fantasia', 'DeSangueECinzas', 'fantasias', 'livrosdefantasia', 'FBAA', 'FromBloodAndAsh', 'JenniferLArmentrout', 'livrosdefantasia', 'UmReinoDeCarneEFogo', 'CoroaDeOssosDourados', 'AGuerraDasDuasRainhas', 'UmaSombraNaBrasa', 'UmaLuzNaChama']",2024-04-20,19:30:08,sábado,19
galerarecord,2861,73,Vocês estão prontos?,"['DarkHeir', 'DarkRise', 'AscensãoDasTrevas', 'HerdeiroDasTrevas']",2024-04-20,03:00:16,sábado,3
galerarecord,5549,43,"Chegou o novo álbum da Taylor Swift e junto dele a sua nova biografia! A capa está lindíssima, né? E o melhor: o livro terá brindes especiais!  Garanta na pré-venda e aproveite o incrível mundo da loirinha. (em breve disponível na Amazon)  Neste momento, estamos revelando a capa para vocês e em breve o livro com brindes.","['editorabestseller', 'biografia', 'taylorswift', 'THETORTUREDPOETSDEPARTMENT', 'veruseditora', 'galerarecord']",2024-04-19,18:00:27,sexta,18
galerarecord,2109,20,"Effy Sayre sempre acreditou em contos de fadas, não que tivesse muita escolha: desde pequena, foi assombrada por visões do Rei das Fadas. Sua única escapatória foi mergulhar na célebre história de Angharad, escrita por Emrys Myrddin, sobre uma garota humana que se apaixona pelo Rei das Fadas, e então causa sua destruição. O seu exemplar antigo e surrado do livro é o que mantém Effy seguindo em frente durante seu primeiro ano do curso de arquitetura na prestigiosa universidade Llyrian. Então, quando a família de Myrddin anuncia um concurso para escolher alguém para remodelar a mansão do autor, ela não tem a menor dúvida de que nasceu para isso. Mas a Mansão Hiraeth não é para amadores: antiquada e em ruínas, está a dois passos de desmoronar no tempestuoso mar que a rodeia. Mas, assim que Effy chega ao local, descobre que alguém já vive lá: Preston Héloury, um jovem e rabugento acadêmico de literatura, que está decidido a provar que o autor favorito dela não passa de uma fraude. Os dois estudantes rivais começam a investigar o legado do recluso autor, encontrando pistas deixadas em cartas, livros e diários, e descobrem que não é só a estrutura da casa que tem sérios problemas. Forças sombrias, tanto humanas quanto mágicas, estão conspirando contra eles — e a verdade desenterrada pode significar o fim do caminho para ambos. O livro está na pré-venda e você pode acessar o link nos stories e no destaque ""pré-venda"". A ilustração do pôster é de @ohkaykayart e a tradução é de @volp___ ","['darkacademia', 'liçõessobreafogamentos', 'avareid', 'romances', 'rivaisacademicos', 'livrosincriveis', 'fantasias', 'mundodasfadas']",2024-04-19,11:55:04,sexta,11
galerarecord,415,13,"Você tem um minutinho? Vem que a gente te conta tudo sobre O SEGREDO DAS LARVAS, de @volp___  Catorze garotas são premiadas para viver um sonho. Uma delas sabe que é um pesadelo... E fará de tudo para redesenhar seu destino. Ao revisitar o passado para imaginar o futuro, Volp traz um tema que as distopias costumam evitar: raça. O SEGREDO DAS LARVAS, do multifacetado Stefano Volp (@volp__), autor de NUNCA VI A CHUVA, apresenta uma distopia com referências afrofuturistas.","['OSegredoDasLarvas', 'StefanoVolp', 'distopia', 'livrosdistopicos', 'literaturanacional', 'distopiasliterárias', 'GaleraRecord']",2024-04-18,20:55:47,quinta,20
galerarecord,2140,84,Chegou prova de capa digital de HERDEIRO DAS TREVAS por aqui!  Quem está preparado para descobrir o que rolou depois dos acontecimentos bombásticos de ASCENSÃO DAS TREVAS? Fica de olho aqui nas nossas redes ,"['AscensaoDasTrevas', 'HerdeiroDasTrevas', 'CSPacat', 'fantasia', 'DarkHeir', 'DarkRise']",2024-04-18,13:50:17,quinta,13
galerarecord,381,17,"ABRIL É O MÊS DO NACIONAL e hoje @rayctjay está DE FRENTE COM A GALERA RECORD respondendo perguntinhas! Pela Gal a Ray publica OS 12 SIGNOS DE VALENTINA, CONFIDÊNCIAS DE UMA EX-POPULAR, o conto ROBIN HOOD em HEROÍNAS, AS VANTAGENS DE SER VOCÊ e o conto O DIÁRIO DA PRINCESA, na antologia FINALMENTE 15. Leia Ray Tavares!","['RayTavares', 'romances', 'AsVantagensDeSerVocê', 'Os12SignosDeValentina', 'Finalmente15', 'ConfidênciasDeUmaExPopular', 'livrosnacionais', 'leiturasnacionais', 'leiturabrasileira', 'livrosbrasileiros', 'livrosdobrasil', 'euamolivrosnacionais', 'LiteraturaBrasileira']",2024-04-18,11:56:03,quinta,11
galerarecord,20782,20844,"Vocês amaram nossas edições de luxo de Trono de Vidro, né? E como a gente ama agradar vocês, vai rolar sorteio! Algum sortude pode levar para casa TODOS OS VOLUMES da edição de luxo da série TRONO DE VIDRO! Vem participar do super sorteio da sua casa de fantasia preferida!  Para participar é super fácil, você deve: Curtir esta foto;  Seguir o perfil da @galerarecord aqui no Instagram  Seguir o TikTok da @galerarecord também; Marcar duas pessoas apaixonadas por livros nos comentários; REGRAS: - Serão desconsideradas as marcações de perfis de marcas, famosos, instabooks e sorteios; - Seu perfil precisa estar aberto no momento do sorteio; - Não é permitido marcar as mesmas pessoas mais de uma vez; - É preciso ter endereço de entrega no Brasil; - O envio será realizado em até 30 dias. - Pode participar quantas vezes quiser! Resultado no dia 25/04/2024 nos stories da Galera Record  Boa sorte e que a força de Celaena Sardothien esteja com você!","['TronoDeVidro', 'EdiçãoDeLuxo', 'CorteDeEspinhosERosas', 'SarahJMaas', 'fantasias', 'ThroneOfGlass', 'ACourtOfThornAndRoses', 'fantasy', 'FeyreAndRhysand', 'Feyre', 'Rhysand']",2024-04-17,19:30:55,quarta,19
galerarecord,21819,299,"GENTE, OLHA QUE LINDA A COLEÇÃO COMPLETA! Estou apaixonada e vocês? TORRE DO ALVORECER e REINO DE CINZAS chegaram com brindes incríveis para fechar a série com chave de ouro! A arte do pôster de TORRE DO ALVORECER é de @gabsgabx e a de REINO DE CINZAS é de @julxluna  O projeto gráfico da coleção é de @renatavidaldesign  Garanta já! O link está nos stories e no destaque “pré-venda” ","['TronoDeVidro', 'EdiçãoDeLuxo', 'CorteDeEspinhosERosas', 'SarahJMaas', 'fantasias', 'ThroneOfGlass', 'ACourtOfThornAndRoses', 'fantasy', 'FeyreAndRhysand', 'Feyre', 'Rhysand']",2024-04-17,11:55:07,quarta,11
galerarecord,29677,489,"OLHA QUEM CHEGOU, GALERA! Agora em uma edição especial de colecionador, com pintura trilateral e exclusiva para o Brasil (sim, só tem no Brasil, menines!), conheça a sequência de É ASSIM QUE ACABA. Da autora best-seller mundial e fenômeno editorial Colleen Hoover (@colleenhoover), que já vendeu mais de dois milhões de livros no país! O link está no destaque ""pré-venda"" aqui no perfil.","['ÉAssimQueComeça', 'ÉAssimQueAcaba', 'ColleenHoover', 'romancesincríveis', 'livrosderomance', 'livrosdedrama', 'dramas', 'romances', 'filmesromanticos', 'ItEndsWithUs', 'ItStartsWithUs', 'LilyBloom', 'ÉAssimQueComeçaCapaDura']",2024-04-16,20:01:32,terça,20
galerarecord,12522,121,"Nossos personagens tem aquele jeitinho de dizer ""eu te amo"" que conquistam qualquer um, né? Vem que Cardan, Hawke e Lila mostram o jeitinho deles de demonstrar amor!","['OPríncipeCruel', 'CruelPrince', 'HollyBlack', 'fantasias', 'livrosdefantasia', 'euamofantasia', 'VESchwab', 'OsFrageisFiosDoPoder', 'ThreadsOfPower', 'JenniferLArmentrout', 'DeSangueECinzas']",2024-04-16,13:12:33,terça,13
galerarecord,1841,51,"ELE NASCEU! Está entre nós CANÇÃO DOS OSSOS, a nova fantasia gótica de @giuldomingues  O que você encontra na história? romance sáfico cenas  um universo mágico único que tem a música como ferramenta um reconto sáfico de O FANTASMA DA ÓPERA uma fantasia gótica e MUITO sombria Da incrível imaginação de Giu Domingues, um dos maiores nomes da fantasia nacional, CANÇÃO DOS OSSOS é um romance gótico e sáfico, em que a magia sai das melodias para viver entre as palavras. Feche os olhos e deixe a música te guiar.","['fantasiagótica', 'altafantasia', 'GiuDomingues', 'darkacademia', 'darkromance', 'romanceentremulheres', 'ofantasmadaópera', 'GaleraRecord', 'fantasias', 'livrosdefantasia']",2024-04-15,18:07:55,segunda,18
